id,Day,Time,device_id,Longitude,Latitude,Speed_m_s,geo_dist,arc,chord,tortuosity index,birds_activity1,birds_activity2,geometry
1062,2021-04-07,05:35:43.000,210452,3.042239904403687,41.76163864135742,24.444444444444443,6.847636073371303,12.363682834258276,12.358733247829754,0.9995996673082872,T,T,POINT (3.042239904403687 41.76163864135742)
1063,2021-04-07,05:45:45.000,210452,2.983601570129395,41.71830368041992,12.777777777777777,5.516046760886975,11.545690249471388,11.053054864722569,0.9573316645341864,F,T,POINT (2.983601570129395 41.71830368041992)
1064,2021-04-07,05:55:45.000,210452,2.939161539077759,41.681427001953125,11.666666666666666,6.029643488584414,14.37376282339961,14.263788228595736,0.9923489349201696,T,T,POINT (2.939161539077759 41.681427001953125)
1065,2021-04-07,06:05:45.000,210452,2.868853330612183,41.66791534423828,18.61111111111111,8.344119334815197,15.768716951616875,15.719026844071168,0.9968488173325596,T,T,POINT (2.868853330612183 41.66791534423828)
1066,2021-04-07,06:15:45.000,210452,2.780894994735718,41.6317024230957,21.38888888888889,7.424597616801681,8.039091537745394,7.91422893812735,0.9844680709217224,T,T,POINT (2.780894994735718 41.6317024230957)
1067,2021-04-07,06:25:44.000,210452,2.696855068206787,41.60908889770508,20.0,0.6144939209437134,0.682538197555998,0.6462621520387156,0.9468512595380332,F,T,POINT (2.696855068206787 41.60908889770508)
1068,2021-04-07,06:35:45.000,210452,2.692983388900757,41.6043815612793,0.0,0.0680442766122846,0.2722550219739794,0.1609848173133653,0.5913015530297594,R,F,POINT (2.692983388900757 41.6043815612793)
1069,2021-04-07,06:45:45.000,210452,2.693433284759521,41.6038703918457,0.2777777777777778,0.2042107453616948,0.4873983764133857,0.4865364037954856,0.998231482377428,R,F,POINT (2.693433284759521 41.6038703918457)
1070,2021-04-07,06:55:45.000,210452,2.693833351135254,41.60568237304688,1.1111111111111112,0.2831876310516908,0.7810031709326863,0.3446481173473777,0.4412890115872301,R,F,POINT (2.693833351135254 41.60568237304688)
1071,2021-04-07,07:05:45.000,210452,2.693979978561401,41.60822677612305,8.61111111111111,0.4978155398809955,0.7866285078185296,0.3748085270414023,0.4764746297853069,F,T,POINT (2.693979978561401 41.60822677612305)
1072,2021-04-07,07:15:45.000,210452,2.697798252105713,41.60477828979492,21.11111111111111,0.2888129679375341,0.4680291908137161,0.4192927762985908,0.8958688571745023,F,T,POINT (2.697798252105713 41.60477828979492)
1073,2021-04-07,07:25:46.000,210452,2.694326639175415,41.60486602783203,0.5555555555555556,0.179216222876182,0.4747416958270961,0.4665991001392129,0.9828483662601046,R,F,POINT (2.694326639175415 41.60486602783203)
1074,2021-04-07,07:36:19.000,210452,2.693013191223145,41.60358810424805,1.3888888888888888,0.2955254729509141,0.6358199232477284,0.6321856470300538,0.9942841108232172,R,F,POINT (2.693013191223145 41.60358810424805)
1075,2021-04-07,07:46:03.000,210452,2.692056655883789,41.60102844238281,0.0,0.3402944502968143,21.523496741017308,21.49441265503218,0.9986487285809046,R,F,POINT (2.692056655883789 41.60102844238281)
1076,2021-04-07,07:55:46.000,210452,2.690141677856445,41.59832382202149,3.611111111111111,21.18320229072049,22.778977442178046,22.764286169016152,0.999355051244105,T,F,POINT (2.690141677856445 41.59832382202149)
1077,2021-04-07,08:45:43.000,210452,2.489911556243896,41.48072052001953,13.88888888888889,1.5957751514575509,1.720654761324301,1.7081500418667654,0.9927325807950508,T,T,POINT (2.489911556243896 41.48072052001953)
1078,2021-04-07,08:55:43.000,210452,2.476668357849121,41.47035217285156,0.0,0.1248796098667501,0.2329133181867593,0.2322639986520621,0.997212183743926,R,F,POINT (2.476668357849121 41.47035217285156)
1079,2021-04-07,09:05:46.000,210452,2.475255012512207,41.46997833251953,0.8333333333333333,0.1080337083200091,0.2129808111803738,0.2126894783749015,0.9986321171195766,R,F,POINT (2.475255012512207 41.46997833251953)
